Obra,Pintor,Creado,CostoMDD,Medidas,F_Venta,Notas
Salvator Mundi,Leonardo da Vinci,1490-1519,450,66  x 45,2017,"Subastada el 15 de noviembre de 2017 por 450 millones de dólares, convirtiéndose en la pintura más cara de la historia.1​"
Interchange,Willem de Kooning,1955,300,200.7 × 175.3 ,2015,
¿Cuando te casas? (Nafea faa Ipoipo),Paul Gauguin,1892,300,101 x 77,2015,"Subastada en febrero de 2015 en US$ 300 millones de dólares.2​ Por el mismo precio figuran haberse vendido: Interchange, de Willem de Kooning (1955) y No. 5, 1948 de Jackson Pollock, ambos vendidos en otoño de 2015 a Kenneth Griffin-fundación David Geffen y cedidos al Instituto de Arte de Chicago;.3​"
Los jugadores de cartas,Paul Cézanne,1892-1893,250,47 × 56.5 ,2012,"Vendido por US$ 250 millones de dólares, fue adquirida por Catar en 2012.4​"
"No. 6 (Violet, Green and Red)",Mark Rothko,1951,186,,2014,Vendido en 2014 en €180 millones de euros.5​
Las mujeres de Argel,Pablo Picasso,1955,"179,4",114 × 146.4 ,2015,"Subastado el 11 de mayo de 2015 en 179,4 millones de dólares.6​7​"
El sueño,Pablo Picasso,1932,155,130 x 97 ,2013,"Vendido por US$ 155 millones de dólares, fue adquirida por Steve Cohen, en 2013.4​"
No. 5,Jackson Pollock,1948,140,243.8×121.9 ,2006,"Vendido por $140 millones en noviembre de 2006 (venta directa al financiero mexicano David Martínez Guzmán, según información de The New York Times)8​"
"Desnudo, hojas verdes y busto",Pablo Picasso,1932,106,163 x 130 ,2010,"Vendido por US$ 106 millones de dólares, en 2010 se pagaron en Christie's.4​"
Retrato de Adele Bloch-Bauer I,Gustav Klimt,1907,136,138 × 138 ,2006,"Vendido por $136 millones4​ en junio de 2006 (según The New York Times9​, en venta directa al magnate Ronald Lauder, propietario de la Neue Galerie)."
Retrato del Dr. Gachet,Vincent van Gogh,1890,82.5,67 x 56 ,1990,"Vendido por $82.5 millones el 15 de mayo de 1990 en Christie's, Nueva York (valor actual: $116,793,226.33)"
Baile en el Moulin de la Galette,Pierre-Auguste Renoir,1876,78,131  x 175 ,1990,"Vendido por $78 millones el 17 de mayo de 1990 en Sotheby's, Nueva York (valor actual: $110,422,686.71ɡ)"
Garçon à la pipe,Pablo Picasso,1905,104.1,100  x 81 ,2004,"Vendido por $104.1 millones el 4 de mayo de 2004 en Sotheby's, Nueva York (valor actual: $106,910,700.00)"
Dora Maar au Chat,Pablo Picasso,1941,95.2,128  x 95 ,2006,"Vendido por $95.2 millones el 3 de mayo de 2006 en Sotheby's, Nueva York (valor actual: $95,216,000.00)"
Lirios,Vincent van Gogh,1889,49,71 x 93,1987,"Vendido por $49 millones el 11 de noviembre de 1987 en Sotheby's, Nueva York (valor actual: $78,402,796.71)."
La masacre de los inocentes,Peter Paul Rubens,1611-1612,76.7,142  x 182,2002,"Vendido por £49.5 millones ($76.7 millones) en 10 de julio de 2002 at Sotheby's, Londres (valor actual: $77,927,200.00)"
Les Noces de Pierrette,Pablo Picasso,1905,49,114 x 195,1989,"Vendido por $49 millones el 30 de noviembre de 1989 (valor actual: $72,697,766.77)"
Portrait de l'artiste sans barbe,Vincent van Gogh,1889,65,"41 x 32,5",1998,"Vendido por $65 millones el 19 de noviembre de 1998 en Christie's, Nueva York (valor actual: $71,691,040.02)."
"Rideau, Cruchon et Compotier",Paul Cézanne,1893,60.5,60  × 73,1999,"Vendido por $60.5 millones el 10 de mayo de 1999 en Sotheby's, Nueva York"
Femme aux Bras Croisés,Pablo Picasso,1901-1902,50,60  x 81,2000,"Vendido por $50 millones el 8 de noviembre de 2000 en Christie's, Nueva York (valor actual: $52,851,507.20)."
